DATE,CPI,EGGS,OIL,CARS
2013-01-01,100.00000,100.00000,100.00000,100.00000
2013-02-01,100.54299,101.65546,103.26837,100.30355
2013-03-01,100.26027,99.58614,95.90818,99.41820
2013-04-01,100.05093,99.22400,89.38780,99.98735
2013-05-01,100.09237,96.74082,89.27521,100.44900
2013-06-01,100.33063,96.17175,89.68944,102.12483
2013-07-01,100.52702,94.82669,94.04119,101.31537
2013-08-01,100.76701,95.08536,96.41456,100.08853
2013-09-01,100.80499,98.13761,96.51767,100.27825
2013-10-01,100.85895,99.58614,95.82486,99.45614
2013-11-01,101.04498,99.58614,95.26284,101.68216
2013-12-01,101.31216,104.81117,98.83907,100.13913
2014-01-01,101.55776,103.87998,99.84169,98.74154
2014-02-01,101.66955,103.36265,99.77405,101.13830
2014-03-01,101.87717,106.62183,94.92325,107.41162
2014-04-01,102.06708,109.62235,94.12084,105.57769
2014-05-01,102.26132,103.25918,93.22686,108.37286
2014-06-01,102.39642,100.77600,93.94080,110.76962
2014-07-01,102.51166,100.87946,90.47078,109.25821
2014-08-01,102.49526,102.37972,89.74562,109.01790
2014-09-01,102.50260,101.91412,85.82515,107.24720
2014-10-01,102.48231,100.93120,78.99411,105.96345
2014-11-01,102.28937,105.12157,73.31196,107.18396
2014-12-01,101.97385,114.33006,60.47781,108.63214
2015-01-01,101.32425,109.31195,52.68008,106.94998
2015-02-01,101.58107,108.01862,61.03812,106.84247
2015-03-01,101.85472,110.34661,53.17697,113.16006
2015-04-01,101.96090,106.82876,56.14378,111.86366
2015-05-01,102.29714,101.50026,59.70061,113.48258
2015-06-01,102.58029,132.95396,57.42591,113.07785
2015-07-01,102.74302,132.95396,50.53546,115.75919
2015-08-01,102.74259,152.25039,45.22357,116.40422
2015-09-01,102.51166,153.44025,46.33639,115.55682
2015-10-01,102.61310,145.26643,45.76651,115.55050
2015-11-01,102.73568,137.81686,43.01625,115.85404
2015-12-01,102.62518,142.31764,33.87154,110.61785
2016-01-01,102.57814,120.43456,30.62542,114.27307
2016-02-01,102.44174,117.27884,31.68203,114.33631
2016-03-01,102.76287,107.65649,36.79454,109.34042
2016-04-01,103.15652,92.75737,38.71118,111.70556
2016-05-01,103.40039,87.11847,44.08903,111.91425
2016-06-01,103.68743,77.13399,46.15910,112.11029
2016-07-01,103.63520,79.97931,41.88201,114.60823
2016-08-01,103.82685,75.27160,43.18857,113.30551
2016-09-01,104.09921,76.09933,44.06885,113.50787
2016-10-01,104.34308,71.90895,48.48908,113.61538
2016-11-01,104.46609,68.33937,45.21426,112.47075
2016-12-01,104.72982,71.54682,50.58900,115.58844
2017-01-01,105.15325,82.72116,50.43605,111.64232
2017-02-01,105.32072,75.73720,50.91542,111.94587
2017-03-01,105.27152,72.63321,48.64435,107.80371
2017-04-01,105.40144,72.89188,49.54823,108.69538
2017-05-01,105.31986,73.15054,47.32949,107.94916
2017-06-01,105.38849,68.90843,43.41388,108.27800
2017-07-01,105.42302,68.96017,46.50679,109.09378
2017-08-01,105.82875,70.71909,49.52436,107.75944
2017-09-01,106.36916,73.56441,55.69004,115.84140
2017-10-01,106.45160,79.66891,55.63626,116.89117
2017-11-01,106.73561,77.90998,59.37670,113.79877
2017-12-01,106.96049,93.89550,60.68492,113.21697
2018-01-01,107.41543,91.51578,65.75872,110.71903
2018-02-01,107.70463,90.79152,60.42915,110.42180
2018-03-01,107.72534,94.72323,60.94116,111.47790
2018-04-01,108.00590,107.65649,66.39816,111.62335
2018-05-01,108.24978,102.79359,71.31498,111.03522
2018-06-01,108.34733,84.22142,68.83798,111.11744
2018-07-01,108.43193,89.23952,68.66415,110.39019
2018-08-01,108.62573,83.91102,69.24597,109.97281
2018-09-01,108.84974,85.41128,72.55203,112.74268
2018-10-01,109.10441,85.87688,75.39896,115.72124
2018-11-01,109.02758,82.56596,66.48321,113.95687
2018-12-01,109.10225,82.51423,58.66379,114.88649
2019-01-01,109.08110,80.39317,59.50397,109.34674
2019-02-01,109.34180,80.54837,62.83417,107.30412
2019-03-01,109.72164,79.87584,64.04215,112.14191
2019-04-01,110.15716,75.68546,66.35471,106.86144
2019-05-01,110.19126,70.46042,65.46750,112.09132
2019-06-01,110.13471,62.23487,59.30949,111.80674
2019-07-01,110.36175,64.30419,61.62406,110.99096
2019-08-01,110.52318,63.06260,58.50000,111.52217
2019-09-01,110.71828,71.54682,62.73013,112.37589
2019-10-01,111.03466,66.32178,62.59274,110.19414
2019-11-01,111.27595,72.68495,62.39750,111.58540
2019-12-01,111.62686,79.41024,64.00490,110.92139
2020-01-01,111.80858,75.58200,59.61261,109.49219
2020-02-01,111.89965,74.96120,51.79200,107.89224
2020-03-01,111.41450,78.89291,37.69085,73.86328
2020-04-01,110.53742,104.44904,27.78166,56.42826
2020-05-01,110.44074,84.84221,27.45961,77.96117
2020-06-01,110.92330,80.39317,34.97970,83.92462
2020-07-01,111.48097,72.47801,38.69975,95.33295
2020-08-01,111.97001,68.70150,38.45664,99.31069
2020-09-01,112.23676,69.99483,34.85434,105.55872
2020-10-01,112.34769,72.84014,35.82712,108.03769
2020-11-01,112.57516,75.01293,37.79416,104.29394
2020-12-01,113.10261,76.61666,44.53094,107.04484
2021-01-01,113.36807,75.84066,48.12786,109.57440
2021-02-01,113.79452,82.61769,54.41660,101.85291
2021-03-01,114.34528,84.06622,55.55265,115.24062
2021-04-01,115.10322,83.80755,55.55090,117.97255
2021-05-01,115.86894,84.06622,59.77883,108.62581
2021-06-01,116.78184,84.94568,62.28375,99.64586
2021-07-01,117.30196,84.94568,63.46014,95.28236
2021-08-01,117.77934,88.41180,61.20818,85.28426
2021-09-01,118.27917,94.93016,66.91810,80.50971
2021-10-01,119.35566,94.20590,77.63499,86.39727
2021-11-01,120.30050,88.87739,73.42064,85.63840
2021-12-01,121.23973,92.49871,69.04088,83.30488
2022-01-01,121.97869,99.79307,80.85836,98.33681
2022-02-01,122.84670,103.72478,89.20191,89.58452
2022-03-01,124.08203,105.84584,118.47558,88.57902
2022-04-01,124.57366,130.36730,128.81571,93.20812
2022-05-01,125.72050,148.11174,146.58317,82.48277
2022-06-01,127.21395,140.04139,138.40387,85.49927
2022-07-01,127.17078,151.88826,115.77851,87.30159
2022-08-01,127.46947,161.20021,112.02075,86.87789
2022-09-01,127.99563,150.12933,106.16784,89.24935
2022-10-01,128.62063,176.87532,135.68469,99.74704
2022-11-01,128.88436,185.66994,124.54440,93.91640
2022-12-01,129.05356,219.86549,95.72411,87.74426
2023-01-01,129.72086,249.50854,100.54942,102.47897
