DATE,USINFO
2012-12-01,2675
2013-01-01,2661
2013-02-01,2699
2013-03-01,2699
2013-04-01,2696
2013-05-01,2711
2013-06-01,2707
2013-07-01,2720
2013-08-01,2690
2013-09-01,2707
2013-10-01,2719
2013-11-01,2724
2013-12-01,2726
2014-01-01,2721
2014-02-01,2719
2014-03-01,2725
2014-04-01,2722
2014-05-01,2719
2014-06-01,2725
2014-07-01,2724
2014-08-01,2731
2014-09-01,2732
2014-10-01,2726
2014-11-01,2735
2014-12-01,2735
2015-01-01,2738
2015-02-01,2742
2015-03-01,2737
2015-04-01,2741
2015-05-01,2749
2015-06-01,2750
2015-07-01,2753
2015-08-01,2754
2015-09-01,2764
2015-10-01,2763
2015-11-01,2750
2015-12-01,2759
2016-01-01,2762
2016-02-01,2776
2016-03-01,2785
2016-04-01,2789
2016-05-01,2753
2016-06-01,2798
2016-07-01,2799
2016-08-01,2805
2016-09-01,2812
2016-10-01,2814
2016-11-01,2811
2016-12-01,2812
2017-01-01,2824
2017-02-01,2815
2017-03-01,2812
2017-04-01,2807
2017-05-01,2804
2017-06-01,2808
2017-07-01,2809
2017-08-01,2816
2017-09-01,2813
2017-10-01,2812
2017-11-01,2812
2017-12-01,2817
2018-01-01,2818
2018-02-01,2813
2018-03-01,2824
2018-04-01,2838
2018-05-01,2837
2018-06-01,2840
2018-07-01,2842
2018-08-01,2843
2018-09-01,2839
2018-10-01,2851
2018-11-01,2851
2018-12-01,2853
2019-01-01,2843
2019-02-01,2836
2019-03-01,2848
2019-04-01,2846
2019-05-01,2853
2019-06-01,2873
2019-07-01,2868
2019-08-01,2868
2019-09-01,2872
2019-10-01,2873
2019-11-01,2883
2019-12-01,2894
2020-01-01,2897
2020-02-01,2903
2020-03-01,2898
2020-04-01,2642
2020-05-01,2606
2020-06-01,2624
2020-07-01,2617
2020-08-01,2640
2020-09-01,2698
2020-10-01,2698
2020-11-01,2706
2020-12-01,2719
2021-01-01,2745
2021-02-01,2758
2021-03-01,2768
2021-04-01,2788
2021-05-01,2803
2021-06-01,2820
2021-07-01,2841
2021-08-01,2866
2021-09-01,2874
2021-10-01,2886
2021-11-01,2904
2021-12-01,2913
2022-01-01,2918
2022-02-01,2918
2022-03-01,2936
2022-04-01,2957
2022-05-01,2983
2022-06-01,3009
2022-07-01,3025
2022-08-01,3032
2022-09-01,3040
2022-10-01,3044
2022-11-01,3066
2022-12-01,3061
